student_id,attendance_percentage,assessment_score,assignment_completion_rate,login_frequency,study_hours,activity_count,communication_score,course_progress_percentage,forum_participation,video_completion_rate,peer_interaction_score,risk_category
STU0020,46.58,42.69,68.24,21.71,11.91,37,59.68,62.07,19,39.72,91.42,High Risk
STU0021,98.38,66.08,100.0,16.0,0.5,35,41.88,57.98,12,67.25,99.27,Low Risk
STU0022,67.94,69.99,41.53,17.19,5.74,26,66.63,44.88,31,100.0,59.1,Medium Risk
STU0023,73.22,89.49,32.96,33.94,0.75,33,67.02,45.46,18,56.79,57.98,Medium Risk
STU0024,46.35,41.44,85.67,11.8,4.2,20,80.47,87.61,10,72.29,48.27,High Risk
STU0025,62.2,10.65,56.43,11.46,0.5,27,76.26,24.78,5,87.95,36.31,High Risk
STU0026,74.0,68.31,63.64,14.93,7.45,34,65.81,100.0,4,74.17,82.5,Low Risk
STU0027,51.28,97.41,54.38,22.57,3.43,22,30.19,57.45,14,74.43,92.47,Medium Risk
STU0028,78.76,87.3,64.8,1.95,8.24,17,100.0,48.0,8,60.03,37.13,Medium Risk
STU0029,61.19,68.77,100.0,1.0,1.5,2,24.12,81.27,25,62.9,53.34,Medium Risk
STU0030,66.75,56.15,86.04,9.3,8.33,19,75.88,97.67,23,46.88,46.0,Low Risk
STU0031,61.17,79.53,87.24,1.0,6.34,28,64.49,89.59,17,86.61,46.6,Low Risk
STU0032,100.0,47.48,41.68,10.6,14.01,29,29.17,76.04,2,29.69,78.72,High Risk
STU0033,71.76,73.57,46.98,18.02,13.65,25,52.27,88.91,6,89.36,28.76,Medium Risk
STU0034,52.96,74.1,13.22,6.87,11.14,14,53.27,27.24,22,37.12,64.33,High Risk
STU0035,86.81,84.08,53.81,2.59,6.69,1,83.72,53.52,7,89.18,69.56,Medium Risk
STU0036,50.02,100.0,89.13,14.55,15.94,15,39.31,44.95,20,60.22,52.16,Low Risk
STU0037,75.76,72.06,80.34,20.9,1.79,16,49.24,91.94,15,40.9,72.86,Low Risk
STU0038,36.73,55.84,65.57,1.0,2.39,16,3.61,56.56,12,80.74,57.95,High Risk
STU0039,48.09,64.54,69.55,20.56,7.66,26,93.16,83.6,6,88.43,79.34,Medium Risk
STU0040,75.54,33.16,56.22,20.54,17.02,39,31.45,76.79,11,58.36,24.56,High Risk
STU0041,85.29,52.5,74.1,21.63,7.19,21,62.19,46.03,13,83.85,48.02,Low Risk
STU0042,75.08,57.63,85.32,23.75,7.27,17,52.77,52.09,20,17.73,53.56,Medium Risk
STU0043,69.92,55.57,37.68,31.62,2.23,17,52.84,93.46,4,38.95,1.56,High Risk
STU0044,66.58,67.74,75.99,11.15,11.78,21,72.82,47.94,9,96.43,33.28,Medium Risk
STU0045,45.39,50.2,88.65,14.88,11.81,11,91.77,67.75,12,63.08,38.73,Medium Risk
STU0046,59.04,85.18,61.7,10.67,11.16,21,60.53,47.78,17,27.03,73.96,High Risk
STU0047,63.71,65.0,84.01,14.02,5.48,24,69.41,58.09,4,52.62,40.86,Medium Risk
STU0048,91.03,64.83,100.0,26.26,5.17,22,62.24,63.98,1,47.69,38.64,Low Risk
STU0049,78.19,59.1,67.91,3.24,2.83,24,77.39,47.78,17,64.35,71.35,Medium Risk
STU0050,40.27,67.79,77.87,7.11,8.34,24,44.82,43.87,0,59.84,22.64,High Risk
STU0051,77.83,79.85,55.24,25.02,3.68,2,78.66,71.3,22,71.94,13.58,Low Risk
STU0052,65.07,49.39,73.63,22.16,3.29,26,79.43,46.42,10,66.47,47.77,Medium Risk
STU0053,59.82,53.15,79.21,11.09,6.31,13,78.82,47.17,0,97.91,26.05,High Risk
STU0054,83.01,59.53,73.9,20.84,6.04,9,40.48,44.34,8,77.34,26.81,Medium Risk
STU0055,90.56,40.77,49.61,16.73,5.85,8,51.3,63.29,15,78.07,66.47,High Risk
STU0056,88.76,50.25,74.13,26.0,9.87,24,60.27,85.76,7,93.63,72.52,Low Risk
STU0057,56.89,56.43,99.24,14.6,8.32,17,24.84,98.14,12,59.45,70.78,Medium Risk
STU0058,66.43,80.74,78.97,22.21,6.85,3,90.09,49.03,17,40.24,77.18,Medium Risk
STU0059,77.96,69.73,89.24,35.14,8.73,24,54.73,100.0,10,94.55,79.82,Low Risk
STU0060,89.56,68.48,65.26,18.78,4.03,5,61.25,42.9,4,70.99,12.43,Medium Risk
STU0061,63.37,80.32,85.0,14.39,8.42,21,42.31,88.84,9,71.07,64.01,Low Risk
STU0062,68.66,62.53,75.59,19.78,8.6,22,25.81,49.12,23,54.07,44.41,Medium Risk
STU0063,52.09,72.03,50.98,11.08,1.99,28,41.71,45.84,25,54.43,40.05,High Risk
STU0064,50.47,63.14,76.37,33.1,11.98,37,59.82,48.62,0,86.63,66.21,Medium Risk
STU0065,86.63,69.78,50.17,15.44,4.47,6,69.82,63.85,20,89.66,20.39,Medium Risk
STU0066,96.41,54.51,57.34,11.82,8.36,19,58.56,77.76,14,85.24,19.98,Low Risk
STU0067,70.7,21.1,73.79,7.31,12.66,17,62.63,79.74,19,85.45,67.67,High Risk
STU0068,90.06,62.58,75.94,22.78,11.7,24,47.59,44.23,7,80.52,64.76,Low Risk
STU0069,78.51,90.61,46.22,20.94,8.14,22,65.92,43.23,0,70.89,57.73,Medium Risk
STU0070,60.39,81.67,91.08,10.02,6.55,16,87.62,44.83,16,64.14,37.4,Low Risk
STU0071,78.51,82.38,81.44,18.61,11.79,15,70.51,62.55,4,94.63,69.88,Low Risk
STU0072,99.68,87.25,55.91,1.93,10.7,8,72.81,60.38,0,59.78,68.61,Low Risk
STU0073,71.36,66.6,39.25,15.48,5.53,29,61.47,44.1,1,76.14,56.71,High Risk
STU0074,100.0,68.55,67.1,17.62,4.82,24,21.93,70.93,16,50.31,31.45,Low Risk
STU0075,24.84,53.88,61.08,27.66,0.5,29,32.02,100.0,13,53.5,46.5,High Risk
STU0076,86.79,59.31,72.26,7.83,8.62,16,65.01,53.9,18,62.8,71.76,Medium Risk
STU0077,73.57,76.08,62.74,3.77,7.67,13,54.76,55.46,17,50.31,81.54,Medium Risk
STU0078,66.62,86.67,29.85,6.84,12.54,9,64.68,77.31,8,85.55,48.47,High Risk
STU0079,73.65,62.49,62.23,3.31,9.44,23,91.88,52.71,11,38.34,50.01,High Risk
STU0080,36.22,56.9,63.89,24.69,13.34,9,70.97,79.72,7,70.18,51.77,High Risk
STU0081,68.05,65.01,82.67,26.39,5.21,38,82.7,49.19,10,70.92,60.5,Low Risk
STU0082,78.43,75.82,56.04,16.56,12.55,6,57.08,100.0,4,28.16,43.38,Medium Risk
STU0083,98.6,39.01,100.0,23.77,5.88,22,37.24,72.59,15,58.3,0.0,Low Risk
STU0084,62.67,23.67,31.77,15.07,11.11,35,53.73,51.36,20,73.63,78.86,High Risk
STU0085,57.45,55.09,96.22,13.24,2.16,25,37.3,52.05,5,77.43,90.89,High Risk
STU0086,62.97,43.03,65.51,11.34,8.94,21,89.28,53.7,22,63.51,42.75,High Risk
STU0087,88.48,55.85,87.19,11.52,0.5,10,72.39,95.2,12,82.89,33.67,Low Risk
STU0088,77.92,62.34,71.6,1.62,6.93,6,66.45,37.09,13,65.6,52.26,High Risk
STU0089,62.46,56.84,92.79,16.11,9.76,27,82.19,50.31,0,68.3,51.25,Medium Risk
STU0090,81.24,91.14,62.25,13.68,5.92,35,10.56,52.64,0,73.54,74.91,Medium Risk
STU0091,73.75,70.88,48.03,19.96,3.8,15,67.94,64.65,13,88.39,56.09,Medium Risk
STU0092,89.44,70.41,98.41,14.75,11.38,8,26.17,59.04,18,53.13,39.15,Low Risk
STU0093,59.36,76.2,67.73,12.7,7.59,1,54.84,32.19,6,57.29,28.63,High Risk
STU0094,66.1,44.5,74.43,7.03,6.04,10,48.14,56.2,25,53.28,72.31,High Risk
STU0095,64.94,83.7,94.7,14.58,8.17,18,69.56,62.81,17,60.69,66.99,Low Risk
STU0096,45.66,63.64,49.36,19.91,18.55,35,60.02,51.18,4,99.38,76.21,High Risk
STU0097,77.33,77.07,81.91,4.85,12.61,26,84.59,80.11,12,80.6,35.64,Low Risk
STU0098,76.7,45.71,58.2,14.7,12.65,23,41.76,85.23,31,43.12,91.77,Medium Risk
STU0099,72.09,37.03,67.36,15.86,9.74,15,70.6,63.28,2,54.79,20.13,High Risk
STU0100,67.78,79.72,71.45,8.26,8.67,14,58.57,70.07,16,76.2,69.19,Medium Risk
STU0101,46.52,71.78,40.0,9.3,0.5,34,19.02,17.46,9,48.06,16.81,High Risk
STU0102,64.43,48.76,54.42,15.84,5.28,22,34.79,55.74,17,52.04,39.19,High Risk
STU0103,65.83,49.35,97.02,4.93,6.08,1,51.7,87.11,22,97.59,86.22,Medium Risk
STU0104,57.56,85.26,87.72,16.8,0.5,13,79.47,55.68,8,54.51,71.63,Medium Risk
STU0105,69.1,43.59,68.75,6.84,3.37,11,65.2,48.78,20,89.0,44.08,High Risk
STU0106,79.27,94.57,74.86,22.5,0.5,14,29.31,100.0,29,95.62,44.62,Low Risk
STU0107,100.0,48.79,64.12,32.7,7.85,25,51.91,100.0,12,51.86,57.01,Low Risk
STU0108,75.14,76.49,97.13,7.11,11.28,18,99.39,75.29,18,48.42,65.28,Low Risk
STU0109,76.64,59.08,65.99,18.27,12.43,19,57.45,90.06,7,61.93,80.03,Medium Risk
STU0110,70.66,75.86,74.64,8.19,9.66,33,47.8,16.03,12,44.05,45.88,Medium Risk
STU0111,37.46,55.21,92.92,22.33,4.15,13,65.82,47.67,10,70.66,22.76,High Risk
STU0112,71.52,62.07,54.45,3.88,0.5,38,71.79,54.66,18,63.48,58.14,High Risk
STU0113,73.08,65.74,100.0,17.84,0.97,13,44.96,59.81,21,75.93,45.85,Low Risk
STU0114,100.0,46.96,39.39,7.02,2.92,20,66.06,54.22,11,98.73,28.99,Medium Risk
STU0115,68.54,78.33,100.0,12.34,4.44,17,47.76,8.9,24,85.98,60.95,Low Risk
STU0116,77.43,55.76,62.55,5.75,7.36,21,70.83,73.49,24,78.76,50.74,Medium Risk
STU0117,71.38,60.89,65.15,20.58,3.94,24,58.73,76.96,18,24.75,61.13,Medium Risk
STU0118,50.96,47.1,32.2,7.3,9.36,24,65.6,100.0,7,77.75,37.11,High Risk
STU0119,92.57,18.88,60.9,18.42,7.07,12,38.3,47.66,7,100.0,64.73,High Risk
STU0120,85.53,61.56,49.2,11.25,8.04,8,36.93,45.86,5,1.77,28.66,High Risk
STU0121,86.24,100.0,57.85,13.08,12.56,45,75.8,6.04,19,83.17,38.45,Low Risk
STU0122,55.63,79.12,67.25,15.18,3.28,15,53.25,58.54,2,64.49,50.14,High Risk
STU0123,97.25,64.65,89.16,7.91,9.67,26,61.27,84.82,17,49.3,89.84,Low Risk
STU0124,46.77,60.27,74.15,15.68,7.94,3,48.26,51.54,3,85.62,70.7,High Risk
STU0125,82.56,65.4,76.15,26.24,6.67,17,74.77,100.0,18,100.0,76.54,Low Risk
STU0126,100.0,74.85,48.09,7.78,11.54,18,41.63,59.35,12,85.06,83.34,Low Risk
STU0127,54.17,43.75,52.38,23.37,11.52,24,52.02,68.23,22,59.83,100.0,High Risk
STU0128,61.81,85.06,100.0,25.98,4.21,1,72.29,35.01,21,47.24,55.83,Low Risk
STU0129,73.79,77.88,55.3,7.47,7.27,21,80.81,71.32,23,71.18,83.41,Low Risk
STU0130,62.94,77.93,100.0,2.36,9.12,8,43.48,21.45,23,87.21,75.25,Medium Risk
STU0131,44.09,72.89,65.14,16.42,6.91,23,98.11,80.26,13,59.48,74.92,Medium Risk
STU0132,73.23,65.35,70.05,9.62,10.34,9,61.89,80.94,2,61.61,90.48,Medium Risk
STU0133,52.88,77.11,91.41,28.95,9.12,11,32.06,94.9,3,100.0,46.61,Low Risk
STU0134,80.52,75.65,95.44,14.28,15.33,17,63.12,42.56,0,91.73,45.03,Low Risk
STU0135,55.45,58.63,67.78,7.58,1.88,9,46.57,68.53,3,93.3,61.4,High Risk
STU0136,99.9,54.68,62.24,4.82,7.51,15,64.55,77.4,12,35.87,51.35,Medium Risk
STU0137,57.9,66.83,68.88,22.72,4.37,8,54.06,74.73,7,52.44,61.37,High Risk
STU0138,66.2,92.88,76.76,9.43,10.42,1,56.63,45.96,10,69.64,86.25,Medium Risk
STU0139,86.64,42.7,87.83,14.35,1.53,30,34.94,12.38,15,45.97,45.44,High Risk
STU0140,49.84,38.58,70.08,21.65,9.39,7,76.78,72.63,9,100.0,48.91,High Risk
STU0141,76.09,67.97,82.38,10.13,5.48,18,29.57,61.65,3,99.03,58.49,Medium Risk
STU0142,95.53,65.92,100.0,13.63,5.06,27,30.61,52.53,11,56.26,50.43,Low Risk
STU0143,43.07,68.12,77.63,13.87,2.21,13,63.08,81.81,4,100.0,16.72,Medium Risk
STU0144,75.32,69.39,76.23,19.47,6.14,11,90.26,64.01,9,67.91,43.4,Low Risk
STU0145,76.68,60.98,39.62,18.73,12.34,22,47.24,35.98,22,100.0,68.75,Medium Risk
STU0146,86.07,91.82,17.39,12.24,7.9,31,70.42,22.51,9,71.18,83.75,High Risk
STU0147,49.73,36.18,77.77,14.51,10.51,8,78.61,40.16,26,80.68,31.91,High Risk
STU0148,48.23,50.09,68.1,11.03,14.66,18,72.92,100.0,23,98.8,31.81,Medium Risk
STU0149,81.39,63.14,59.7,2.18,9.06,2,48.15,80.9,7,96.11,55.6,Medium Risk
STU0150,77.35,35.42,74.87,16.06,5.76,16,31.0,69.15,3,79.24,13.49,High Risk
STU0151,76.51,61.83,68.79,29.14,9.87,20,6.43,61.0,11,64.89,46.1,Medium Risk
STU0152,78.24,94.91,92.56,6.93,5.82,11,49.22,59.56,21,79.31,20.28,Low Risk
STU0153,59.76,65.38,71.72,7.82,5.98,15,80.92,90.68,8,50.04,82.38,Medium Risk
STU0154,76.18,69.15,55.06,7.03,1.92,5,30.27,54.21,19,71.35,39.61,High Risk
STU0155,77.28,42.32,89.8,19.8,11.71,20,70.4,77.69,21,43.6,88.06,Low Risk
STU0156,59.14,53.91,65.66,17.59,6.46,30,34.1,57.33,5,28.82,77.27,High Risk
STU0157,100.0,58.25,80.53,12.73,8.73,9,57.33,100.0,6,69.11,42.07,Low Risk
STU0158,80.53,59.28,60.45,6.66,3.86,13,70.57,81.33,17,95.77,33.56,Medium Risk
STU0159,50.56,88.07,57.0,14.74,9.74,25,40.49,92.4,13,88.37,51.13,Medium Risk
STU0160,83.82,75.04,71.68,1.48,4.95,32,58.75,52.14,6,66.2,52.91,Medium Risk
STU0161,54.46,44.99,70.26,15.15,7.43,5,45.87,88.28,9,100.0,61.92,High Risk
STU0162,86.17,69.44,79.6,20.97,11.51,18,70.51,58.12,11,55.48,39.47,Low Risk
STU0163,92.85,73.97,64.63,3.99,11.16,22,60.18,67.42,0,25.81,69.93,Medium Risk
STU0164,57.23,85.52,33.27,1.74,7.91,18,56.24,100.0,18,19.99,60.31,High Risk
STU0165,89.34,93.45,61.34,26.64,0.93,1,89.28,42.06,8,42.01,48.19,Low Risk
STU0166,79.43,46.73,85.88,9.11,19.97,25,69.57,69.47,0,85.97,40.76,Low Risk
STU0167,86.8,50.4,64.05,23.09,14.98,35,39.81,74.64,11,54.03,51.3,Medium Risk
STU0168,100.0,42.36,65.07,12.77,10.89,21,53.11,76.44,6,78.14,38.66,Medium Risk
STU0169,67.58,60.79,89.73,12.7,4.99,9,53.33,55.08,25,100.0,56.17,Low Risk
STU0170,58.43,73.39,55.76,17.51,7.55,14,56.77,100.0,7,43.8,56.71,High Risk
STU0171,55.99,82.77,39.14,6.93,5.83,37,100.0,36.51,3,78.53,60.23,High Risk
STU0172,57.32,63.63,66.79,15.06,13.06,29,63.16,97.1,16,79.86,90.32,Low Risk
STU0173,70.61,59.24,60.32,10.95,9.05,26,10.21,91.73,6,49.06,52.35,High Risk
STU0174,78.14,67.73,50.68,3.44,4.86,23,43.06,100.0,5,97.79,75.09,Medium Risk
STU0175,76.98,49.97,66.49,16.7,6.12,13,12.49,30.06,16,61.67,59.59,High Risk
STU0176,86.89,100.0,79.83,11.89,12.48,17,47.74,45.89,3,59.56,50.24,Low Risk
STU0177,72.23,36.06,69.81,12.74,14.4,19,11.28,97.82,0,100.0,52.62,High Risk
STU0178,98.16,68.33,76.14,4.32,14.11,25,35.83,23.71,25,79.5,53.82,Low Risk
STU0179,67.24,100.0,100.0,26.73,11.03,35,21.54,29.66,16,88.36,60.6,Low Risk
STU0180,100.0,65.12,63.14,21.01,6.99,31,63.45,54.26,9,97.81,35.81,Low Risk
STU0181,83.26,61.58,75.57,21.71,0.5,5,55.01,69.22,11,53.69,25.69,Medium Risk
STU0182,56.57,58.57,59.82,11.56,9.19,22,61.67,100.0,16,95.5,68.09,Medium Risk
STU0183,52.72,61.75,53.07,1.0,7.99,27,52.7,60.92,19,56.96,72.96,High Risk
STU0184,80.68,89.71,58.3,29.62,8.56,26,24.33,51.62,5,56.02,69.91,Medium Risk
STU0185,67.98,25.19,60.42,13.51,8.22,13,66.3,71.85,14,62.02,58.1,High Risk
STU0186,84.85,92.6,77.19,8.01,2.69,49,97.29,75.33,7,54.31,70.34,Low Risk
STU0187,80.52,39.37,100.0,17.33,10.23,7,64.0,74.71,10,86.09,69.27,Low Risk
STU0188,70.69,60.2,55.68,23.34,10.53,9,45.63,61.08,13,73.88,70.75,Medium Risk
STU0189,56.76,57.27,61.67,13.82,10.73,22,23.58,21.99,11,57.19,37.81,High Risk
STU0190,44.73,75.59,68.74,24.23,11.79,41,35.02,44.81,17,82.84,33.06,Medium Risk
STU0191,63.96,36.23,77.92,22.66,10.42,11,64.97,96.25,15,61.95,47.23,Medium Risk
STU0192,87.42,73.32,75.27,5.39,6.36,17,78.61,69.12,0,60.78,54.65,Low Risk
STU0193,75.85,100.0,95.68,8.61,7.72,30,60.74,57.9,1,69.07,50.16,Low Risk
STU0194,49.58,40.46,21.47,21.66,8.36,19,72.6,89.6,9,78.2,17.47,High Risk
STU0195,75.12,68.41,22.26,1.0,8.43,16,70.57,40.14,26,76.58,89.43,High Risk
STU0196,78.94,53.08,60.08,12.8,11.99,25,66.14,60.04,5,60.01,49.52,Medium Risk
STU0197,56.09,72.67,91.95,2.55,10.57,22,40.51,68.03,10,86.64,58.45,Medium Risk
STU0198,74.77,65.34,38.69,10.19,16.31,30,58.83,55.29,7,63.11,79.89,High Risk
STU0199,73.05,53.45,9.85,11.61,16.83,32,36.34,67.22,7,53.59,8.1,High Risk
STU0200,51.43,73.78,81.42,11.13,8.32,23,55.38,60.87,13,35.7,44.77,High Risk
STU0201,78.44,97.48,74.87,9.58,0.5,22,62.28,34.21,23,89.63,47.26,Low Risk
STU0202,82.09,61.56,48.2,5.22,12.95,22,91.93,68.99,15,68.27,48.27,Medium Risk
STU0203,91.49,77.96,50.29,32.34,5.84,24,26.19,35.78,5,72.64,51.53,Medium Risk
STU0204,90.97,41.72,50.61,28.94,4.79,20,65.59,68.64,34,91.01,83.94,Low Risk
STU0205,47.2,47.78,72.21,4.7,6.41,19,87.59,95.23,12,57.5,68.47,High Risk
STU0206,55.12,73.5,57.47,26.66,6.21,31,71.69,58.82,7,37.76,74.16,High Risk
STU0207,81.27,91.71,79.88,10.8,10.45,35,73.32,39.23,23,69.54,55.94,Low Risk
STU0208,81.25,71.4,12.91,15.03,1.76,4,67.93,62.21,8,74.78,27.01,High Risk
STU0209,81.27,59.36,52.86,13.49,3.69,20,83.56,46.7,25,62.22,13.41,Medium Risk
STU0210,100.0,64.99,47.48,8.72,9.37,13,31.08,78.08,5,100.0,24.41,Medium Risk
STU0211,82.28,42.49,64.87,21.87,10.49,16,24.51,61.74,23,13.3,62.2,High Risk
STU0212,92.44,75.88,59.24,15.01,10.57,24,54.86,100.0,13,92.64,55.64,Low Risk
STU0213,89.17,80.88,85.96,10.19,4.85,26,7.45,90.59,22,85.41,50.8,Low Risk
STU0214,83.73,56.86,32.81,3.56,4.09,18,82.07,61.63,27,78.05,47.63,High Risk
STU0215,66.33,56.54,70.91,6.85,5.97,1,81.86,80.74,2,0.0,95.23,High Risk
STU0216,85.66,69.79,81.17,1.0,8.96,10,45.47,56.35,22,96.25,38.54,Low Risk
STU0217,58.09,57.14,100.0,14.1,13.94,28,46.84,65.75,0,45.42,73.56,Medium Risk
STU0218,67.74,63.81,60.36,4.43,0.5,1,53.41,57.05,3,56.83,55.04,High Risk
STU0219,63.26,100.0,76.49,11.88,7.12,31,56.14,81.86,5,64.25,53.78,Low Risk
STU0220,73.47,60.55,33.92,24.96,2.67,25,57.8,96.53,16,76.96,78.53,Medium Risk
STU0221,100.0,58.55,22.16,23.59,1.39,33,67.28,82.57,12,82.07,84.25,Medium Risk
STU0222,38.39,53.34,86.9,13.74,11.87,18,51.2,85.28,10,87.64,50.21,Medium Risk
STU0223,84.35,78.4,69.89,13.3,10.18,1,75.75,85.31,13,85.95,70.98,Low Risk
STU0224,42.97,61.74,93.57,29.04,9.8,24,64.81,77.13,16,73.56,62.28,Low Risk
STU0225,63.51,53.31,42.53,18.17,11.68,32,41.65,39.94,17,77.15,55.15,High Risk
STU0226,91.6,88.78,80.4,11.38,6.08,29,84.37,100.0,20,44.0,59.09,Low Risk
STU0227,73.16,90.55,100.0,2.59,6.27,13,25.12,100.0,26,51.48,41.24,Low Risk
STU0228,52.6,54.19,78.39,17.15,16.74,20,52.97,59.85,11,87.7,48.88,Medium Risk
STU0229,59.12,31.4,75.53,20.63,7.01,14,76.27,56.84,7,86.42,43.39,High Risk
STU0230,84.23,83.14,70.17,8.95,10.94,11,39.09,78.47,16,83.92,73.03,Low Risk
STU0231,58.85,52.68,38.58,16.33,8.03,29,61.81,77.12,2,56.68,53.1,High Risk
STU0232,75.9,79.23,97.11,11.09,0.61,8,66.95,60.56,6,88.03,29.05,Low Risk
STU0233,72.82,29.54,57.78,12.53,0.5,11,36.07,37.5,19,42.45,40.53,High Risk
STU0234,60.27,81.07,80.09,1.0,5.68,8,53.41,71.73,11,91.7,0.0,Medium Risk
STU0235,100.0,43.2,38.74,12.23,12.22,5,51.56,77.13,2,62.26,45.11,High Risk
STU0236,83.41,78.15,46.41,21.75,11.15,21,42.86,80.97,0,100.0,55.75,Low Risk
STU0237,35.55,65.26,98.7,8.95,11.66,31,100.0,72.68,12,34.53,52.28,Medium Risk
STU0238,75.36,47.83,63.05,14.42,4.05,18,38.21,59.04,21,100.0,94.6,Medium Risk
STU0239,60.09,57.67,99.07,7.95,14.46,4,77.11,86.87,21,60.05,66.5,Low Risk
STU0240,87.34,77.35,68.44,16.88,4.14,28,46.36,66.45,12,59.65,65.61,Low Risk
STU0241,57.73,66.91,33.16,12.27,8.85,36,31.09,54.77,28,72.29,22.13,High Risk
STU0242,69.93,75.52,87.84,6.49,7.96,13,57.26,61.03,11,52.66,47.71,Medium Risk
STU0243,81.09,100.0,58.2,24.66,7.3,15,69.28,26.59,10,66.41,45.27,Low Risk
STU0244,87.58,36.84,83.97,21.43,13.35,25,75.25,60.99,0,51.77,39.28,Medium Risk
STU0245,50.39,94.11,70.5,9.16,5.18,36,89.37,80.15,8,52.58,39.0,Low Risk
STU0246,65.98,66.88,39.14,17.98,2.6,14,100.0,72.48,18,78.71,18.84,Medium Risk
STU0247,63.45,48.82,73.29,18.3,8.08,6,60.51,98.45,24,48.17,29.48,Medium Risk
STU0248,60.24,41.05,100.0,19.14,6.4,26,40.41,59.21,5,51.1,72.48,High Risk
STU0249,100.0,61.6,79.86,1.0,21.51,27,64.96,75.72,15,37.8,52.14,Low Risk
STU0250,79.29,81.59,68.85,22.05,10.71,20,49.14,82.44,20,56.91,44.87,Low Risk
STU0251,49.3,62.7,91.51,9.44,6.36,14,75.37,100.0,12,96.86,54.89,Low Risk
STU0252,88.52,92.2,74.21,11.14,3.78,29,26.46,68.18,0,49.39,78.35,Low Risk
STU0253,100.0,38.88,74.19,35.1,0.5,25,100.0,42.03,13,51.9,55.08,Low Risk
STU0254,90.58,64.78,48.17,16.41,3.9,12,73.83,83.65,18,72.27,65.81,Medium Risk
STU0255,44.65,42.46,74.68,10.91,8.46,20,17.95,100.0,4,59.84,38.07,High Risk
STU0256,63.28,71.55,90.71,1.0,13.71,6,39.4,57.9,9,100.0,42.63,Medium Risk
STU0257,94.8,80.96,53.28,25.12,12.49,26,72.95,83.5,2,64.42,62.08,Low Risk
STU0258,59.26,57.43,98.49,3.24,8.92,17,80.88,92.03,0,75.37,92.85,Medium Risk
STU0259,79.99,18.12,68.17,5.97,6.71,15,27.01,87.38,20,88.76,83.6,High Risk
STU0260,85.94,68.58,52.24,11.35,9.08,19,70.69,67.76,11,88.34,66.66,Medium Risk
STU0261,55.32,72.86,89.95,25.33,5.93,20,12.16,49.63,24,73.13,58.03,Medium Risk
STU0262,70.93,72.28,64.26,20.19,14.87,28,53.03,63.21,18,64.46,83.02,Low Risk
STU0263,13.66,87.24,85.19,12.74,7.24,25,79.47,75.09,9,100.0,70.89,Medium Risk
STU0264,53.56,45.72,64.16,16.47,7.65,18,42.87,84.98,11,65.81,9.13,High Risk
STU0265,67.45,77.24,68.8,9.2,0.5,27,21.85,72.35,16,58.28,33.92,Medium Risk
STU0266,49.54,86.47,79.87,15.12,7.22,24,58.22,56.64,19,53.79,61.76,Medium Risk
STU0267,100.0,32.99,75.82,14.59,11.35,15,41.7,77.22,14,30.01,19.26,Medium Risk
STU0268,46.26,70.75,30.09,21.75,3.73,18,68.85,83.92,20,86.08,37.05,High Risk
STU0269,64.08,55.92,47.58,21.74,5.0,18,35.52,73.35,9,16.34,41.0,High Risk
STU0270,74.35,63.53,88.59,17.95,11.17,25,38.0,46.6,4,67.87,49.88,Medium Risk
STU0271,97.94,71.26,67.36,11.1,2.09,16,10.54,61.01,11,63.49,49.25,Medium Risk
